CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022009530,Rear-end,Delaware,rear bumper,1C6HJTAG1LLA00000,JEEP,Gladiator,2020
2022009530,Rear-end,Delaware,rear bumper,1C6HJTAG1LLA00000,JEEP,Grand Cherokee,2013
2022009530,Rear-end,Delaware,front bumper,1C4RJFCGXDCA00000,JEEP,Gladiator,2020
2022009530,Rear-end,Delaware,front bumper,1C4RJFCGXDCA00000,JEEP,Grand Cherokee,2013
2022009545,Hit pedestrian,Montgomery,front bumper/headlight,3GKALTEV2KLA00000,GMC,Terrain,2019
2022009720,Rear-end,Montgomery,rear bumper,19XFC1F74GEA00000,HONDA,Civic,2016
2022009755,Rear-end,Delaware,rear bumper,3VW6T7BU5LMA00000,VOLKSWAGEN,Jetta,2020
2022009759,Sideswipe (Opposite dir.),Chester,rear bumper/tail light,1GCGTDEN5J1A00000,CHEVROLET,Colorado,2018
2022009971,Hit fixed object,Chester,front bumper/headlight,JN1CV6AR5DMA00000,INFINITI,G37,2013
2022010007,Angle,Delaware,front quarter panel/side mirror,5N1AR2MM3GCA00000,NISSAN,Pathfinder,2016
2022010153,Hit fixed object,Montgomery,front bumper/headlight,3FADP0L37CRA00000,FORD,Fusion,2012
2022010198,Angle,Montgomery,rear bumper,1HGCR2F11HAA00000,HONDA,Accord,2017
2022010245,Angle,Delaware,rear bumper,1C3CCCBG3FNA00000,CHRYSLER,200,2015
2022010300,Rear-end,Philadelphia,front bumper,2HGFC3B37GHA00000,HONDA,Civic,2016
2022010343,Hit fixed object,Montgomery,front bumper,KNAFX4A69E5A00000,KIA,Forte,2014
2022010446,Rear-end,Montgomery,rear bumper,1C3CDFBA6DDA00000,DODGE,Dart,2013
2022010452,Rear-end,Montgomery,rear bumper/tail light,4T1B11HK0KUA00000,TOYOTA,Camry,2019
2022010491,Rear-end,Delaware,rear bumper,KMHDH4AE5GUA00000,HYUNDAI,Elantra,2016
2022010498,Angle,Montgomery,front quarter panel/side mirror,4T1BD1FK4CUA00000,TOYOTA,Camry,2012
2022010512,Angle,Montgomery,front bumper,1C4GJWBG8ELA00000,JEEP,Wrangler,2014
2022010551,Rear-end,Montgomery,rear bumper,1FMEE5DP7MLA00000,FORD,Bronco,2021
